name,surname,born,died,birthplace,motivation,category,year
Bruce A.,Beutler,1957-12-29,0000-00-00,USA,for their discoveries concerning the activation of innate immunity,medicine,2011
Jules A.,Hoffmann,1941-08-02,0000-00-00,Luxembourg,for their discoveries concerning the activation of innate immunity,medicine,2011
Ralph M.,Steinman,1943-01-14,2011-09-30,Canada,for his discovery of the dendritic cell and its role in adaptive immunity,medicine,2011
Saul,Perlmutter,1959-00-00,0000-00-00,USA,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,physics,2011
Brian P.,Schmidt,1967-02-24,0000-00-00,USA,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,physics,2011
Adam G.,Riess,1969-12-16,0000-00-00,USA,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,physics,2011
Dan,Shechtman,1941-01-24,0000-00-00,British Mandate of Palestine (now Israel),for the discovery of quasicrystals,chemistry,2011
Tomas,Tranströmer,1931-04-15,2015-03-26,Sweden,"because, through his condensed, translucent images, he gives us fresh access to reality",literature,2011
Ellen,Johnson Sirleaf,1938-10-29,0000-00-00,Liberia,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,peace,2011
Leymah,Gbowee,1972-02-01,0000-00-00,Liberia,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,peace,2011
Tawakkol,Karman,1979-02-07,0000-00-00,Yemen,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,peace,2011
Thomas J.,Sargent,1943-07-19,0000-00-00,USA,for their empirical research on cause and effect in the macroeconomy,economics,2011
Christopher A.,Sims,1942-10-21,0000-00-00,USA,for their empirical research on cause and effect in the macroeconomy,economics,2011
Sir John B.,Gurdon,1933-10-02,0000-00-00,United Kingdom,for the discovery that mature cells can be reprogrammed to become pluripotent,medicine,2012
Shinya,Yamanaka,1962-09-04,0000-00-00,Japan,for the discovery that mature cells can be reprogrammed to become pluripotent,medicine,2012
Serge,Haroche,1944-09-11,0000-00-00,Morocco,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,physics,2012
David J.,Wineland,1944-02-24,0000-00-00,USA,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,physics,2012
Robert J.,Lefkowitz,1943-04-15,0000-00-00,USA,for studies of G-protein-coupled receptors,chemistry,2012
Brian,Kobilka,1955-05-30,0000-00-00,USA,for studies of G-protein-coupled receptors,chemistry,2012
Mo,Yan,1955-02-02,0000-00-00,China,"who with hallucinatory realism merges folk tales, history and the contemporary",literature,2012
European Union,,1952-00-00,0000-00-00,,"for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe",peace,2012
Alvin E.,Roth,1951-12-18,0000-00-00,USA,for the theory of stable allocations and the practice of market design,economics,2012
Lloyd S.,Shapley,1923-06-02,2016-03-12,USA,for the theory of stable allocations and the practice of market design,economics,2012
James E.,Rothman,1950-11-03,0000-00-00,USA,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",medicine,2013
Randy W.,Schekman,1948-12-30,0000-00-00,USA,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",medicine,2013
Thomas C.,Südhof,1955-12-22,0000-00-00,Germany,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",medicine,2013
François,Englert,1932-11-06,0000-00-00,Belgium,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider",physics,2013
Peter,Higgs,1929-05-29,0000-00-00,United Kingdom,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider",physics,2013
Martin,Karplus,1930-03-15,0000-00-00,Austria,for the development of multiscale models for complex chemical systems,chemistry,2013
Michael,Levitt,1947-05-09,0000-00-00,South Africa,for the development of multiscale models for complex chemical systems,chemistry,2013
Arieh,Warshel,1940-11-20,0000-00-00,British Mandate of Palestine (now Israel),for the development of multiscale models for complex chemical systems,chemistry,2013
Alice,Munro,1931-07-10,0000-00-00,Canada,master of the contemporary short story,literature,2013
Organisation for the Prohibition of Chemical Weapons,,1997-00-00,0000-00-00,,for its extensive efforts to eliminate chemical weapons,peace,2013
Eugene F.,Fama,1939-02-14,0000-00-00,USA,for their empirical analysis of asset prices,economics,2013
Lars Peter,Hansen,1952-10-26,0000-00-00,USA,for their empirical analysis of asset prices,economics,2013
Robert J.,Shiller,1946-03-29,0000-00-00,USA,for their empirical analysis of asset prices,economics,2013
John,O'Keefe,1939-11-18,0000-00-00,USA,for their discoveries of cells that constitute a positioning system in the brain,medicine,2014
May-Britt,Moser,1963-01-04,0000-00-00,Norway,for their discoveries of cells that constitute a positioning system in the brain,medicine,2014
Edvard I.,Moser,1962-04-27,0000-00-00,Norway,for their discoveries of cells that constitute a positioning system in the brain,medicine,2014
Isamu,Akasaki,1929-01-30,2021-04-01,Japan,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,physics,2014
Hiroshi,Amano,1960-09-11,0000-00-00,Japan,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,physics,2014
Shuji,Nakamura,1954-05-22,0000-00-00,Japan,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,physics,2014
Eric,Betzig,1960-01-13,0000-00-00,USA,for the development of super-resolved fluorescence microscopy,chemistry,2014
Stefan W.,Hell,1962-12-23,0000-00-00,Romania,for the development of super-resolved fluorescence microscopy,chemistry,2014
William E.,Moerner,1953-06-24,0000-00-00,USA,for the development of super-resolved fluorescence microscopy,chemistry,2014
Patrick,Modiano,1945-07-30,0000-00-00,France,"for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation",literature,2014
Kailash,Satyarthi,1954-01-11,0000-00-00,India,for their struggle against the suppression of children and young people and for the right of all children to education,peace,2014
Malala,Yousafzai,1997-07-12,0000-00-00,Pakistan,for their struggle against the suppression of children and young people and for the right of all children to education,peace,2014
Jean,Tirole,1953-08-09,0000-00-00,France,for his analysis of market power and regulation,economics,2014
William C.,Campbell,1930-06-28,0000-00-00,Ireland,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,medicine,2015
Satoshi,Ōmura,1935-07-12,0000-00-00,Japan,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,medicine,2015
Youyou,Tu,1930-12-30,0000-00-00,China,for her discoveries concerning a novel therapy against Malaria,medicine,2015
Takaaki,Kajita,1959-03-09,0000-00-00,Japan,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",physics,2015
Arthur B.,McDonald,1943-08-29,0000-00-00,Canada,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",physics,2015
Tomas,Lindahl,1938-01-28,0000-00-00,Sweden,for mechanistic studies of DNA repair,chemistry,2015
Paul,Modrich,1946-06-13,0000-00-00,USA,for mechanistic studies of DNA repair,chemistry,2015
Aziz,Sancar,1946-09-08,0000-00-00,Turkey,for mechanistic studies of DNA repair,chemistry,2015
Svetlana,Alexievich,1948-05-31,0000-00-00,Ukraine,"for her polyphonic writings, a monument to suffering and courage in our time",literature,2015
National Dialogue Quartet,,,0000-00-00,,for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011,peace,2015
Angus,Deaton,1945-10-19,0000-00-00,Scotland,"for his analysis of consumption, poverty, and welfare",economics,2015
Yoshinori,Ohsumi,1945-02-09,0000-00-00,Japan,for his discoveries of mechanisms for autophagy,medicine,2016
David J.,Thouless,1934-09-21,2019-04-06,United Kingdom,for theoretical discoveries of topological phase transitions and topological phases of matter,physics,2016
F. Duncan M.,Haldane,1951-09-14,0000-00-00,United Kingdom,for theoretical discoveries of topological phase transitions and topological phases of matter,physics,2016
J. Michael,Kosterlitz,1943-06-22,0000-00-00,United Kingdom,for theoretical discoveries of topological phase transitions and topological phases of matter,physics,2016
Jean-Pierre,Sauvage,1944-10-21,0000-00-00,France,for the design and synthesis of molecular machines,chemistry,2016
Sir J. Fraser,Stoddart,1942-05-24,0000-00-00,United Kingdom,for the design and synthesis of molecular machines,chemistry,2016
Bernard L.,Feringa,1951-05-18,0000-00-00,the Netherlands,for the design and synthesis of molecular machines,chemistry,2016
Juan Manuel,Santos,1951-08-10,0000-00-00,Colombia,for his resolute efforts to bring the country's more than 50-year-long civil war to an end,peace,2016
Oliver,Hart,1948-10-09,0000-00-00,United Kingdom,for their contributions to contract theory,economics,2016
Bengt,Holmström,1949-04-18,0000-00-00,Finland,for their contributions to contract theory,economics,2016
Bob,Dylan,1941-05-24,0000-00-00,USA,for having created new poetic expressions within the great American song tradition,literature,2016
Jeffrey C.,Hall,1945-05-03,0000-00-00,USA,for their discoveries of molecular mechanisms controlling the circadian rhythm,medicine,2017
Michael,Rosbash,1944-03-07,0000-00-00,USA,for their discoveries of molecular mechanisms controlling the circadian rhythm,medicine,2017
Michael W.,Young,1949-03-28,0000-00-00,USA,for their discoveries of molecular mechanisms controlling the circadian rhythm,medicine,2017
Rainer,Weiss,1932-09-29,0000-00-00,Germany,for decisive contributions to the LIGO detector and the observation of gravitational waves,physics,2017
Barry C.,Barish,1936-01-27,0000-00-00,USA,for decisive contributions to the LIGO detector and the observation of gravitational waves,physics,2017
Kip S.,Thorne,1940-06-01,0000-00-00,USA,for decisive contributions to the LIGO detector and the observation of gravitational waves,physics,2017
Jacques,Dubochet,1942-06-08,0000-00-00,Switzerland,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,chemistry,2017
Joachim,Frank,1940-09-12,0000-00-00,Germany,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,chemistry,2017
Richard,Henderson,1945-07-19,0000-00-00,Scotland,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,chemistry,2017
Kazuo,Ishiguro,1954-11-08,0000-00-00,Japan,"who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world",literature,2017
International Campaign to Abolish Nuclear Weapons,,2007-00-00,0000-00-00,,for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons,peace,2017
Richard H.,Thaler,1945-09-12,0000-00-00,USA,for his contributions to behavioural economics,economics,2017
James P.,Allison,1948-08-07,0000-00-00,USA,for their discovery of cancer therapy by inhibition of negative immune regulation,medicine,2018
Tasuku,Honjo,1942-01-27,0000-00-00,Japan,for their discovery of cancer therapy by inhibition of negative immune regulation,medicine,2018
Arthur,Ashkin,1922-09-02,2020-09-21,USA,for the optical tweezers and their application to biological systems,physics,2018
Gérard,Mourou,1944-06-22,0000-00-00,France,"for their method of generating high-intensity, ultra-short optical pulses",physics,2018
Donna,Strickland,1959-05-27,0000-00-00,Canada,"for their method of generating high-intensity, ultra-short optical pulses",physics,2018
Frances H.,Arnold,1956-07-25,0000-00-00,USA,for the directed evolution of enzymes,chemistry,2018
George P.,Smith,1941-03-10,0000-00-00,USA,for the phage display of peptides and antibodies,chemistry,2018
Sir Gregory P.,Winter,1951-04-14,0000-00-00,United Kingdom,for the phage display of peptides and antibodies,chemistry,2018
Denis,Mukwege,1955-03-01,0000-00-00,Belgian Congo (now Democratic Republic of the Congo),for their efforts to end the use of sexual violence as a weapon of war and armed conflict,peace,2018
Nadia,Murad,1993-00-00,0000-00-00,Iraq,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,peace,2018
William D.,Nordhaus,1941-05-31,0000-00-00,USA,for integrating climate change into long-run macroeconomic analysis,economics,2018
Paul M.,Romer,1955-00-00,0000-00-00,USA,for integrating technological innovations into long-run macroeconomic analysis,economics,2018
William,Kaelin,1957-11-23,0000-00-00,USA,for their discoveries of how cells sense and adapt to oxygen availability,medicine,2019
Peter,Ratcliffe,1954-05-14,0000-00-00,United Kingdom,for their discoveries of how cells sense and adapt to oxygen availability,medicine,2019
Gregg,Semenza,1956-07-12,0000-00-00,USA,for their discoveries of how cells sense and adapt to oxygen availability,medicine,2019
James,Peebles,1935-04-25,0000-00-00,Canada,for theoretical discoveries in physical cosmology,physics,2019
Michel,Mayor,1942-01-12,0000-00-00,Switzerland,for the discovery of an exoplanet orbiting a solar-type star,physics,2019
Didier,Queloz,1966-02-23,0000-00-00,Switzerland,for the discovery of an exoplanet orbiting a solar-type star,physics,2019
John,Goodenough,1922-07-25,0000-00-00,Germany,for the development of lithium-ion batteries,chemistry,2019
M. Stanley,Whittingham,1941-12-22,0000-00-00,United Kingdom,for the development of lithium-ion batteries,chemistry,2019
Akira,Yoshino,1948-01-30,0000-00-00,Japan,for the development of lithium-ion batteries,chemistry,2019
Olga,Tokarczuk,1962-01-29,0000-00-00,Poland,for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life,literature,2018
Peter,Handke,1942-12-06,0000-00-00,Austria,for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience,literature,2019
Abiy,Ahmed Ali,1976-08-15,0000-00-00,Ethiopia,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",peace,2019
Abhijit,Banerjee,1961-02-21,0000-00-00,India,for their experimental approach to alleviating global poverty,economics,2019
Esther,Duflo,1972-10-25,0000-00-00,France,for their experimental approach to alleviating global poverty,economics,2019
Michael,Kremer,1964-11-12,0000-00-00,USA,for their experimental approach to alleviating global poverty,economics,2019
Harvey,Alter,1935-09-12,0000-00-00,USA,for the discovery of Hepatitis C virus,medicine,2020
Michael,Houghton,1949-00-00,0000-00-00,United Kingdom,for the discovery of Hepatitis C virus,medicine,2020
Charles,Rice,1952-08-25,0000-00-00,USA,for the discovery of Hepatitis C virus,medicine,2020
Roger,Penrose,1931-08-08,0000-00-00,United Kingdom,for the discovery that black hole formation is a robust prediction of the general theory of relativity,physics,2020
Reinhard,Genzel,1952-03-24,0000-00-00,Germany,for the discovery of a supermassive compact object at the centre of our galaxy,physics,2020
Andrea,Ghez,1965-06-16,0000-00-00,USA,for the discovery of a supermassive compact object at the centre of our galaxy,physics,2020
Emmanuelle,Charpentier,1968-12-11,0000-00-00,France,for the development of a method for genome editing,chemistry,2020
Jennifer A.,Doudna,1964-02-19,0000-00-00,USA,for the development of a method for genome editing,chemistry,2020
Louise,Glück,1943-04-22,0000-00-00,USA,for her unmistakable poetic voice that with austere beauty makes individual existence universal,literature,2020
World Food Programme,,1961-00-00,0000-00-00,,"for its efforts to combat hunger, for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict",peace,2020
Paul,Milgrom,1948-04-20,0000-00-00,USA,for improvements to auction theory and inventions of new auction formats,economics,2020
Robert,Wilson,1937-05-16,0000-00-00,USA,for improvements to auction theory and inventions of new auction formats,economics,2020
David,Julius,1955-11-04,0000-00-00,USA,for their discoveries of receptors for temperature and touch,medicine,2021
Ardem,Patapoutian,1967-00-00,0000-00-00,Lebanon,for their discoveries of receptors for temperature and touch,medicine,2021
Syukuro,Manabe,1931-09-21,0000-00-00,Japan,"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming",physics,2021
Klaus,Hasselmann,1931-10-25,0000-00-00,Germany,"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming",physics,2021
Giorgio,Parisi,1948-08-04,0000-00-00,Italy,for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales,physics,2021
Benjamin,List,1968-01-11,0000-00-00,Germany,for the development of asymmetric organocatalysis,chemistry,2021
David,MacMillan,1968-03-16,0000-00-00,United Kingdom,for the development of asymmetric organocatalysis,chemistry,2021
Abdulrazak,Gurnah,1948-00-00,0000-00-00,,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,literature,2021
Maria,Ressa,1963-10-02,0000-00-00,Philippines,"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace",peace,2021
Dmitry,Muratov,1961-00-00,0000-00-00,USSR (now Russia),"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace",peace,2021
David,Card,1956-00-00,0000-00-00,Canada,for his empirical contributions to labour economics,economics,2021
Joshua,Angrist,1960-09-18,0000-00-00,USA,for their methodological contributions to the analysis of causal relationships,economics,2021
Guido,Imbens,1963-09-03,0000-00-00,the Netherlands,for their methodological contributions to the analysis of causal relationships,economics,2021
